case,gamma_l,gamma_h
"(-1, -1)",0.8118181818181818,0.8217171717171717
"(-1, -1)",0.5247474747474747,0.594040404040404
"(-1, -1)",0.9108080808080808,0.99
"(-1, -1)",0.6138383838383838,0.693030303030303
"(-1, -1)",0.6633333333333333,0.6732323232323232
"(-1, -1)",0.4356565656565656,0.5049494949494949
"(-1, -1)",0.9405050505050504,0.9504040404040404
"(-1, -1)",0.0594949494949494,0.0693939393939393
"(-1, -1)",0.6831313131313131,0.693030303030303
"(-1, -1)",0.6534343434343434,0.7227272727272727
"(-1, -1)",0.7326262626262626,0.7524242424242424
"(-1, -1)",0.0198989898989899,0.0594949494949494
"(-1, -1)",0.7326262626262626,0.8316161616161616
"(-1, -1)",0.0297979797979797,0.0594949494949494
"(-1, -1)",0.5742424242424242,0.6138383838383838
"(-1, -1)",0.4554545454545454,0.5049494949494949
"(-1, -1)",0.891010101010101,0.9405050505050504
"(-1, -1)",0.207979797979798,0.2475757575757575
"(-1, -1)",0.8217171717171717,0.9009090909090908
"(-1, -1)",0.5742424242424242,0.6237373737373737
"(-1, 1)",0.7128282828282828,0.8415151515151514
"(-1, 1)",0.6831313131313131,0.7821212121212121
"(-1, 1)",0.6831313131313131,0.8415151515151514
"(-1, 1)",0.4554545454545454,0.5544444444444444
"(-1, 1)",0.693030303030303,0.8217171717171717
"(-1, 1)",0.5445454545454546,0.6336363636363637
"(-1, 1)",0.0198989898989899,0.0693939393939393
"(-1, 1)",0.6336363636363637,0.7623232323232323
"(-1, 1)",0.7821212121212121,0.9603030303030302
"(-1, 1)",0.0891919191919191,0.1584848484848484
"(-1, 1)",0.2871717171717172,0.3762626262626262
"(-1, 1)",0.4554545454545454,0.5742424242424242
"(-1, 1)",0.7722222222222221,0.9306060606060604
"(-1, 1)",0.8019191919191919,0.9306060606060604
"(-1, 1)",0.2574747474747474,0.3366666666666666
"(-1, 1)",0.5643434343434344,0.6831313131313131
"(-1, 1)",0.1089898989898989,0.1683838383838383
"(-1, 1)",0.5445454545454546,0.6336363636363637
"(-1, 1)",0.4653535353535353,0.5841414141414141
"(-1, 1)",0.6336363636363637,0.7623232323232323
"(1, 1)",0.3069696969696969,0.7623232323232323
"(1, 1)",0.4059595959595959,0.9603030303030302
"(1, 1)",0.5247474747474747,0.8217171717171717
"(1, 1)",0.2178787878787878,0.396060606060606
"(1, 1)",0.5445454545454546,0.702929292929293
"(1, 1)",0.4455555555555555,0.8316161616161616
"(1, 1)",0.198080808080808,0.3861616161616161
"(1, 1)",0.1386868686868687,0.9009090909090908
"(1, 1)",0.6732323232323232,0.9504040404040404
"(1, 1)",0.2475757575757575,0.3663636363636363
"(1, 1)",0.4554545454545454,0.8712121212121212
"(1, 1)",0.396060606060606,0.8712121212121212
"(1, 1)",0.1089898989898989,0.6534343434343434
"(1, 1)",0.4059595959595959,0.6831313131313131
"(1, 1)",0.3762626262626262,0.98010101010101
"(1, 1)",0.1584848484848484,0.6732323232323232
"(1, 1)",0.3762626262626262,0.7821212121212121
"(1, 1)",0.2871717171717172,0.4158585858585858
"(1, 1)",0.4851515151515151,0.9603030303030302
"(1, 1)",0.099090909090909,0.4851515151515151
